Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,Pressure [kPa],H_ads [kJ/mol]
1701.63,0.525239,6.28264,9.03288,1.10042,423.561,5.0,-2021.7137451171875
1551.01,0.532636,6.03698,6.95293,0.970295,86.6602,5.0,-2645.989013671875
769.018,0.378397,4.26263,5.42423,1.34889,41.2652,5.0,-3028.98779296875
58.3253,0.148775,3.3184,3.98941,1.84827,0.944163,5.0,-3925.30029296875
2699.01,0.658718,7.60746,8.62431,0.770384,330.928,5.0,-1815.70703125
558.885,0.293386,8.51354,9.20336,1.41766,134.652,5.0,-2144.726806640625
418.036,0.288081,3.5552,4.6944,1.30512,23.7035,5.0,-3420.7822265625
288.824,0.182714,3.72605,4.93968,1.41687,49.5714,5.0,-3361.381591796875
540.755,0.293348,3.82882,5.18334,1.34958,11.2178,5.0,-3480.991943359375
1678.22,0.584262,19.01787,19.24015,0.637238,1046.74,5.0,-1319.117919921875
3019.75,0.75895,10.28938,11.28682,0.694793,1253.73,5.0,-1728.6204833984375
3623.57,0.814063,8.53343,16.2797,0.581029,5241.74,5.0,-1507.1251220703125
6780.62,0.960807,25.37036,27.02578,0.105567,33496.0,5.0,-753.129638671875
1161.96,0.459147,3.91309,5.70856,1.05709,140.247,5.0,-3160.04248046875
476.128,0.286443,4.67076,6.73583,1.63813,117.55,5.0,-3055.191162109375
219.282,0.129457,4.36113,4.57268,1.52264,13.3365,5.0,-3374.19677734375
703.544,0.253996,5.57539,7.08651,1.19194,129.622,5.0,-2301.735107421875
4960.5,0.783107,8.17707,10.92357,0.452345,2415.18,5.0,-2018.4112548828125
790.573,0.344098,3.62574,5.11906,1.43074,37.193,5.0,-2900.937744140625
1112.07,0.557916,6.10702,6.93729,1.41107,347.776,5.0,-2639.93212890625
400.863,0.25372,4.1954,4.79215,1.30798,17.4743,5.0,-3949.550537109375
3273.99,0.736081,7.97884,8.52954,0.698784,540.252,5.0,-2196.35888671875
899.665,0.417294,4.0384,5.52232,1.34416,51.4093,5.0,-3262.648681640625
2874.66,0.674687,6.58668,9.0172,0.826254,916.224,5.0,-1590.502685546875
769.98,0.257183,4.36329,4.86728,1.19477,45.0156,5.0,-2752.978271484375
3384.32,0.764416,7.80195,13.22033,0.592616,1990.29,5.0,-1910.440185546875
1044.83,0.46513,4.59995,6.25349,1.125,50.789,5.0,-3116.366943359375
2870.05,0.641438,5.46231,13.46057,0.723161,1467.45,5.0,-2153.009765625
2572.83,0.609388,4.71356,8.05755,0.855732,711.219,5.0,-3229.64453125
3645.1,0.770843,5.61242,15.07673,0.613799,2490.67,5.0,-1939.55078125
3774.44,0.726056,6.45934,9.95521,0.622259,1381.64,5.0,-1940.4658203125
1929.01,0.800538,16.2706,16.35588,0.719965,1323.58,5.0,-2019.277587890625
2843.16,0.701279,5.56738,10.10542,0.803439,1252.21,5.0,-2277.309814453125
2326.97,0.759884,9.18488,9.90326,0.858589,862.702,5.0,-1789.9744873046875
730.443,0.307526,7.82255,8.4068,1.53047,191.778,5.0,-1965.2021484375
269.726,0.201388,3.60189,3.9946,1.39587,3.95693,5.0,-2970.8046875
5706.58,0.872611,14.00915,15.86829,0.296337,2987.01,5.0,-1411.326416015625
609.963,0.521996,3.90139,4.45262,1.54768,13.4124,5.0,-5186.27490234375
3018.03,0.765348,7.19804,15.23505,0.693679,3987.41,5.0,-1687.262939453125
4213.68,0.736524,6.71291,8.8463,0.621908,763.012,5.0,-1758.974365234375
303.873,0.193572,4.16906,4.77624,1.66434,19.8794,5.0,-3307.759765625
407.173,0.243021,3.92283,4.52785,1.52157,28.5272,5.0,-3616.642578125
1529.94,0.619542,6.95688,7.15871,0.985662,110.67,5.0,-2868.953369140625
841.39,0.359861,6.61719,6.9388,1.29465,55.5198,5.0,-2087.049560546875
1796.43,0.592762,6.16317,8.1793,1.06142,892.255,5.0,-1961.3316650390625
2782.02,0.698723,10.03042,10.65287,0.702528,464.348,5.0,-1705.901123046875
3375.33,0.727117,9.14271,9.8592,0.664051,845.045,5.0,-2072.64599609375
1797.95,0.543787,5.75538,7.20604,0.945119,159.448,5.0,-2423.292724609375
2186.06,0.540257,7.07627,7.37295,0.890532,252.657,5.0,-2420.083251953125
3365.93,0.693913,8.19119,13.26425,0.58609,1634.06,5.0,-2042.29443359375
2256.27,0.549604,6.48205,7.79318,0.812362,710.635,5.0,-2164.596923828125
2361.43,0.598562,7.01676,8.85741,0.791394,1717.62,5.0,-2133.736572265625
5109.58,0.878178,12.64974,15.85616,0.33301,3390.59,5.0,-1410.8939208984375
407.499,0.177117,4.3574,5.09729,1.38013,31.7995,5.0,-2882.8837890625
2829.47,0.78597,13.15606,13.60274,0.567252,796.257,5.0,-2358.56396484375
1726.37,0.572795,6.54375,7.1012,0.936766,106.421,5.0,-2417.78125
2736.3,0.530548,4.21575,5.82586,0.857921,111.711,5.0,-2234.69580078125
