Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,Pressure [kPa],H_ads [kJ/mol],CO2 Uptake [g/g]
685.398,0.305161,5.38984,7.37537,1.44749,186.014,1.0,-2730.337890625,0.5591975450515747
3203.31,0.849119,15.26868,20.59592,0.489763,6172.06,1.0,-1672.1920166015625,0.3366902768611908
2030.35,0.597814,8.40053,9.1782,0.806366,305.513,1.0,-2415.47998046875,0.7088223695755005
5842.47,0.903184,14.34732,20.24627,0.239504,4718.19,1.0,-1300.2994384765625,0.3539421558380127
2574.03,0.588649,6.36142,7.94995,0.789252,249.753,1.0,-2341.8056640625,0.810333788394928
3196.03,0.718786,9.84058,13.15285,0.6273,1839.18,1.0,-1652.0477294921875,0.29138582944869995
2878.39,0.782509,13.9312,14.12816,0.559847,827.721,1.0,-2294.483642578125,1.2568707466125488
484.523,0.203739,3.99418,4.71739,1.42217,28.2919,1.0,-2719.998046875,0.3193787634372711
2097.4,0.681026,7.62501,12.01807,0.912328,1609.55,1.0,-1801.9111328125,0.2633070945739746
3059.43,0.65981,6.72225,8.08784,0.690584,1012.39,1.0,-1900.540283203125,0.7796474099159241
870.206,0.366853,4.52391,5.36545,1.2572,37.2043,1.0,-2964.96435546875,2.5428810119628906
4206.24,0.798798,9.22083,15.28434,0.477817,2604.13,1.0,-1248.2442626953125,0.19155198335647583
3609.51,0.774611,10.87024,11.56356,0.55846,1129.84,1.0,-2332.812744140625,1.2938878536224365
738.158,0.334764,4.15654,5.26025,1.21753,42.3189,1.0,-3242.305419921875,4.228193759918213
2530.61,0.656639,5.61256,9.11963,0.811111,968.229,1.0,-2293.9169921875,1.0738459825515747
1075.18,0.469326,4.71416,5.52976,1.14207,167.533,1.0,-3198.09619140625,7.472436428070068
3446.47,0.752674,10.13124,10.58972,0.589423,1007.54,1.0,-2151.86962890625,0.88437819480896
2526.57,0.569152,5.07566,6.79459,0.890625,147.414,1.0,-2276.002197265625,0.8092188239097595
2110.14,0.559931,5.22401,5.90662,0.877189,154.64,1.0,-2553.010498046875,1.5884959697723389
1059.34,0.482609,5.29587,6.9552,1.18052,75.1948,1.0,-2900.11376953125,3.145848512649536
802.43,0.283025,4.01625,4.6549,1.15682,19.407,1.0,-3125.923095703125,1.5176664590835571
1093.79,0.393129,4.98135,6.03909,1.12289,190.597,1.0,-2660.400634765625,1.5148392915725708
1557.53,0.445844,5.26843,5.78183,0.992244,109.522,1.0,-2640.369140625,1.3173140287399292
2140.91,0.64303,6.52406,8.93578,0.900168,631.577,1.0,-2345.740966796875,0.8400548696517944
213.609,0.227109,3.85757,4.24837,2.29446,8.39492,1.0,-3711.303466796875,3.4265635013580322
2186.73,0.69731,7.09094,7.66812,0.806521,274.466,1.0,-2538.6630859375,2.234632730484009
405.242,0.273033,3.49737,4.8338,1.29003,30.3175,1.0,-3874.050537109375,3.6438722610473633
1151.14,0.372418,6.88632,7.36137,1.02833,101.737,1.0,-1992.2408447265625,0.2559978663921356
1950.43,0.491212,3.49546,6.89403,0.893207,187.655,1.0,-2217.898681640625,0.4901367723941803
1518.09,0.530539,14.17546,14.43442,0.811532,580.211,1.0,-1811.56591796875,0.22370396554470062
585.869,0.449581,4.29562,4.57337,1.33347,11.424,1.0,-4481.96484375,53.095359802246094
